Masked Input[0]: 3c, Masked Output[0]: f0
Masked Input[1]: 15, Masked Output[1]: 19
Masked Input[2]: f7, Masked Output[2]: df
Masked Input[3]: 60, Masked Output[3]: 88
Masked Input[4]: 57, Masked Output[4]: 3a
Masked Input[5]: c4, Masked Output[5]: 8d
Masked Input[6]: be, Masked Output[6]: 37
Masked Input[7]: 93, Masked Output[7]: 3e
Masked Input[8]: f5, Masked Output[8]: ce
Masked Input[9]: e1, Masked Output[9]: 3e
Masked Input[10]: 44, Masked Output[10]: 7f
Masked Input[11]: ca, Masked Output[11]: 15
Masked Input[12]: 26, Masked Output[12]: c2
Masked Input[13]: ec, Masked Output[13]: 2c
Masked Input[14]: 81, Masked Output[14]: 65
Masked Input[15]: 8b, Masked Output[15]: 4b
Masked Input[0]: 0b, Masked Output[0]: a2
Masked Input[1]: a7, Masked Output[1]: a2
Masked Input[2]: 74, Masked Output[2]: 23
Masked Input[3]: d4, Masked Output[3]: 2f
Masked Input[4]: 84, Masked Output[4]: f2
Masked Input[5]: ac, Masked Output[5]: c9
Masked Input[6]: 6c, Masked Output[6]: a5
Masked Input[7]: 09, Masked Output[7]: d3
Masked Input[8]: 80, Masked Output[8]: 01
Masked Input[9]: fb, Masked Output[9]: c5
Masked Input[10]: 9b, Masked Output[10]: 5b
Masked Input[11]: ff, Masked Output[11]: 80
Masked Input[12]: c7, Masked Output[12]: 75
Masked Input[13]: 74, Masked Output[13]: d5
Masked Input[14]: 91, Masked Output[14]: 62
Masked Input[15]: cf, Masked Output[15]: 2f
Masked Input[0]: 0d, Masked Output[0]: 7f
Masked Input[1]: da, Masked Output[1]: bb
Masked Input[2]: 1f, Masked Output[2]: c9
Masked Input[3]: 71, Masked Output[3]: b4
Masked Input[4]: 81, Masked Output[4]: 86
Masked Input[5]: 86, Masked Output[5]: 5a
Masked Input[6]: 12, Masked Output[6]: dd
Masked Input[7]: c0, Masked Output[7]: d4
Masked Input[8]: f5, Masked Output[8]: 8e
Masked Input[9]: cd, Masked Output[9]: 7e
Masked Input[10]: 46, Masked Output[10]: 51
Masked Input[11]: 1c, Masked Output[11]: c3
Masked Input[12]: 1a, Masked Output[12]: dc
Masked Input[13]: 9e, Masked Output[13]: 83
Masked Input[14]: 3b, Masked Output[14]: 91
Masked Input[15]: c0, Masked Output[15]: b1
Masked Input[0]: 5e, Masked Output[0]: ab
Masked Input[1]: c5, Masked Output[1]: cc
Masked Input[2]: 65, Masked Output[2]: ef
Masked Input[3]: 89, Masked Output[3]: ff
Masked Input[4]: a1, Masked Output[4]: be
Masked Input[5]: 8d, Masked Output[5]: 1a
Masked Input[6]: 71, Masked Output[6]: 1a
Masked Input[7]: 21, Masked Output[7]: c2
Masked Input[8]: dc, Masked Output[8]: c2
Masked Input[9]: dd, Masked Output[9]: b7
Masked Input[10]: 11, Masked Output[10]: 04
Masked Input[11]: ef, Masked Output[11]: 8e
Masked Input[12]: 6c, Masked Output[12]: ae
Masked Input[13]: a0, Masked Output[13]: ea
Masked Input[14]: 53, Masked Output[14]: 9a
Masked Input[15]: 68, Masked Output[15]: 29
Masked Input[0]: 5c, Masked Output[0]: d2
Masked Input[1]: 10, Masked Output[1]: f1
Masked Input[2]: 6f, Masked Output[2]: 9b
Masked Input[3]: 64, Masked Output[3]: ff
Masked Input[4]: 47, Masked Output[4]: 2f
Masked Input[5]: b1, Masked Output[5]: fb
Masked Input[6]: c1, Masked Output[6]: e4
Masked Input[7]: 47, Masked Output[7]: 40
Masked Input[8]: e7, Masked Output[8]: 53
Masked Input[9]: a2, Masked Output[9]: 5b
Masked Input[10]: 87, Masked Output[10]: 04
Masked Input[11]: a7, Masked Output[11]: 69
Masked Input[12]: 04, Masked Output[12]: f8
Masked Input[13]: b1, Masked Output[13]: 6f
Masked Input[14]: c4, Masked Output[14]: 0f
Masked Input[15]: 29, Masked Output[15]: c0
Masked Input[0]: 19, Masked Output[0]: 4e
Masked Input[1]: 44, Masked Output[1]: 25
Masked Input[2]: 59, Masked Output[2]: a5
Masked Input[3]: a0, Masked Output[3]: 6a
Masked Input[4]: 16, Masked Output[4]: 11
Masked Input[5]: 52, Masked Output[5]: 47
Masked Input[6]: 2d, Masked Output[6]: 0e
Masked Input[7]: 42, Masked Output[7]: 73
Masked Input[8]: 3d, Masked Output[8]: 54
Masked Input[9]: e3, Masked Output[9]: ae
Masked Input[10]: 8d, Masked Output[10]: 6b
Masked Input[11]: e5, Masked Output[11]: 27
Masked Input[12]: 1b, Masked Output[12]: 6f
Masked Input[13]: 79, Masked Output[13]: 1f
Masked Input[14]: 72, Masked Output[14]: 89
Masked Input[15]: a9, Masked Output[15]: 40
Masked Input[0]: 01, Masked Output[0]: 88
Masked Input[1]: 88, Masked Output[1]: 5b
Masked Input[2]: a3, Masked Output[2]: d9
Masked Input[3]: 48, Masked Output[3]: 68
Masked Input[4]: 80, Masked Output[4]: c2
Masked Input[5]: 55, Masked Output[5]: b8
Masked Input[6]: 87, Masked Output[6]: 30
Masked Input[7]: 36, Masked Output[7]: 2e
Masked Input[8]: 9a, Masked Output[8]: 9a
Masked Input[9]: 81, Masked Output[9]: 74
Masked Input[10]: 8d, Masked Output[10]: 8b
Masked Input[11]: 5b, Masked Output[11]: a8
Masked Input[12]: 86, Masked Output[12]: c6
Masked Input[13]: 2e, Masked Output[13]: c1
Masked Input[14]: f2, Masked Output[14]: b4
Masked Input[15]: 06, Masked Output[15]: ef
Masked Input[0]: fe, Masked Output[0]: b5
Masked Input[1]: 64, Masked Output[1]: bf
Masked Input[2]: 2e, Masked Output[2]: dc
Masked Input[3]: 07, Masked Output[3]: 65
Masked Input[4]: 33, Masked Output[4]: ff
Masked Input[5]: af, Masked Output[5]: 30
Masked Input[6]: 18, Masked Output[6]: 17
Masked Input[7]: 4d, Masked Output[7]: 11
Masked Input[8]: df, Masked Output[8]: c2
Masked Input[9]: a4, Masked Output[9]: 7a
Masked Input[10]: 41, Masked Output[10]: 26
Masked Input[11]: da, Masked Output[11]: 7e
Masked Input[12]: 90, Masked Output[12]: f1
Masked Input[13]: ff, Masked Output[13]: cd
Masked Input[14]: 1d, Masked Output[14]: 06
Masked Input[15]: 98, Masked Output[15]: d0
Masked Input[0]: b2, Masked Output[0]: 85
Masked Input[1]: c5, Masked Output[1]: 78
Masked Input[2]: 07, Masked Output[2]: a7
Masked Input[3]: 40, Masked Output[3]: 6a
Masked Input[4]: 88, Masked Output[4]: 9f
Masked Input[5]: 69, Masked Output[5]: 2e
Masked Input[6]: 1b, Masked Output[6]: d6
Masked Input[7]: 87, Masked Output[7]: 1a
